Group,Subgroup,Time_Period,Value,Risk
By State,Utah,2020-05-21,25.5,Mild
By State,Vermont,2020-05-21,23.3,Mild
By State,Virginia,2020-05-21,28.7,Mild
By State,Washington,2020-05-21,26.8,Mild
By State,West Virginia,2020-05-21,34.5,Moderate
By State,Wisconsin,2020-05-21,24.7,Mild
By State,Wyoming,2020-05-21,24.0,Mild
By Age,18 - 29 years,2020-05-28,42.2,Extreme
By Age,30 - 39 years,2020-05-28,35.8,High
By Age,40 - 49 years,2020-05-28,32.1,Moderate
By Age,50 - 59 years,2020-05-28,29.3,Mild
By Age,60 - 69 years,2020-05-28,23.0,Mild
By Age,70 - 79 years,2020-05-28,18.2,Mild
By Age,80 years and above,2020-05-28,13.3,Mild
By Sex,Male,2020-05-28,26.0,Mild
By Sex,Female,2020-05-28,35.0,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,32.1,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,29.0,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,33.8,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,28.4,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,44.6,Extreme
By Education,Less than a high school diploma,2020-05-28,37.8,High
By Education,High school diploma or GED,2020-05-28,31.4,Moderate
By Education,Some college/Associate's degree,2020-05-28,32.8,Moderate
By Education,Bachelor's degree or higher,2020-05-28,25.9,Mild
By State,Alabama,2020-05-28,31.6,Moderate
By State,Alaska,2020-05-28,26.1,Mild
By State,Arizona,2020-05-28,27.9,Mild
By State,Arkansas,2020-05-28,35.3,High
By State,California,2020-05-28,33.8,Moderate
By State,Colorado,2020-05-28,29.4,Mild
By State,Connecticut,2020-05-28,26.7,Mild
By State,Delaware,2020-05-28,26.2,Mild
By State,District of Columbia,2020-05-28,28.2,Mild
By State,Florida,2020-05-28,33.8,Moderate
By State,Georgia,2020-05-28,31.7,Moderate
By State,Hawaii,2020-05-28,20.7,Mild
By State,Idaho,2020-05-28,28.3,Mild
By State,Illinois,2020-05-28,31.3,Moderate
By State,Indiana,2020-05-28,31.5,Moderate
By State,Iowa,2020-05-28,27.8,Mild
By State,Kansas,2020-05-28,28.3,Mild
By State,Kentucky,2020-05-28,33.3,Moderate
By State,Louisiana,2020-05-28,31.0,Moderate
By State,Maine,2020-05-28,25.2,Mild
By State,Maryland,2020-05-28,26.1,Mild
By State,Massachusetts,2020-05-28,26.7,Mild
By State,Michigan,2020-05-28,29.0,Mild
By State,Minnesota,2020-05-28,27.5,Mild
By State,Mississippi,2020-05-28,33.8,Moderate
By State,Missouri,2020-05-28,30.1,Moderate
By State,Montana,2020-05-28,22.6,Mild
By State,Nebraska,2020-05-28,22.2,Mild
By State,Nevada,2020-05-28,30.3,Moderate
By State,New Hampshire,2020-05-28,26.7,Mild
By State,New Jersey,2020-05-28,31.8,Moderate
By State,New Mexico,2020-05-28,37.1,High
By State,New York,2020-05-28,29.8,Mild
By State,North Carolina,2020-05-28,29.6,Mild
By State,North Dakota,2020-05-28,18.4,Mild
By State,Ohio,2020-05-28,29.6,Mild
By State,Oklahoma,2020-05-28,31.7,Moderate
By State,Oregon,2020-05-28,35.3,High
By State,Pennsylvania,2020-05-28,31.4,Moderate
By State,Rhode Island,2020-05-28,30.8,Moderate
By State,South Carolina,2020-05-28,29.2,Mild
By State,South Dakota,2020-05-28,26.3,Mild
By State,Tennessee,2020-05-28,30.4,Moderate
By State,Texas,2020-05-28,31.1,Moderate
By State,Utah,2020-05-28,29.7,Mild
By State,Vermont,2020-05-28,31.8,Moderate
By State,Virginia,2020-05-28,28.3,Mild
By State,Washington,2020-05-28,31.7,Moderate
By State,West Virginia,2020-05-28,33.6,Moderate
By State,Wisconsin,2020-05-28,22.7,Mild
By State,Wyoming,2020-05-28,25.3,Mild
By Age,18 - 29 years,2020-06-04,41.7,Extreme
By Age,30 - 39 years,2020-06-04,36.8,High
By Age,40 - 49 years,2020-06-04,34.9,Moderate
By Age,50 - 59 years,2020-06-04,31.8,Moderate
By Age,60 - 69 years,2020-06-04,22.3,Mild
By Age,70 - 79 years,2020-06-04,15.4,Mild
By Age,80 years and above,2020-06-04,13.7,Mild
By Sex,Male,2020-06-04,26.8,Mild
By Sex,Female,2020-06-04,35.1,High
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-04,34.0,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-04,29.6,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-04,34.6,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-04,25.6,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-04,40.4,Extreme
By Education,Less than a high school diploma,2020-06-04,36.9,High
By Education,High school diploma or GED,2020-06-04,31.0,Moderate
By Education,Some college/Associate's degree,2020-06-04,33.6,Moderate
By Education,Bachelor's degree or higher,2020-06-04,27.3,Mild
By State,Alabama,2020-06-04,33.7,Moderate
By State,Alaska,2020-06-04,26.2,Mild
By State,Arizona,2020-06-04,30.8,Moderate
By State,Arkansas,2020-06-04,31.6,Moderate
By State,California,2020-06-04,33.7,Moderate
By State,Colorado,2020-06-04,30.9,Moderate
By State,Connecticut,2020-06-04,27.7,Mild
By State,Delaware,2020-06-04,28.5,Mild
By State,District of Columbia,2020-06-04,33.0,Moderate
By State,Florida,2020-06-04,34.8,Moderate
By State,Georgia,2020-06-04,32.7,Moderate
By State,Hawaii,2020-06-04,20.7,Mild
By State,Idaho,2020-06-04,28.6,Mild
By State,Illinois,2020-06-04,34.2,Moderate
By State,Indiana,2020-06-04,28.7,Mild
By State,Iowa,2020-06-04,31.9,Moderate
By State,Kansas,2020-06-04,29.9,Mild
By State,Kentucky,2020-06-04,33.0,Moderate
By State,Louisiana,2020-06-04,32.5,Moderate
By State,Maine,2020-06-04,31.5,Moderate
By State,Maryland,2020-06-04,22.8,Mild
By State,Massachusetts,2020-06-04,26.1,Mild
By State,Michigan,2020-06-04,24.6,Mild
By State,Minnesota,2020-06-04,27.5,Mild
By State,Mississippi,2020-06-04,31.9,Moderate
By State,Missouri,2020-06-04,23.2,Mild
By State,Montana,2020-06-04,26.4,Mild
By State,Nebraska,2020-06-04,23.5,Mild
By State,Nevada,2020-06-04,33.3,Moderate
By State,New Hampshire,2020-06-04,31.7,Moderate
By State,New Jersey,2020-06-04,30.7,Moderate
By State,New Mexico,2020-06-04,28.6,Mild
By State,New York,2020-06-04,36.3,High
By State,North Carolina,2020-06-04,33.3,Moderate
By State,North Dakota,2020-06-04,20.2,Mild
By State,Ohio,2020-06-04,30.6,Moderate
By State,Oklahoma,2020-06-04,28.9,Mild
By State,Oregon,2020-06-04,35.0,Moderate
By State,Pennsylvania,2020-06-04,29.2,Mild
By State,Rhode Island,2020-06-04,26.6,Mild
By State,South Carolina,2020-06-04,23.7,Mild
By State,South Dakota,2020-06-04,25.6,Mild
By State,Tennessee,2020-06-04,30.6,Moderate
By State,Texas,2020-06-04,33.0,Moderate
By State,Utah,2020-06-04,28.0,Mild
By State,Vermont,2020-06-04,29.8,Mild
By State,Virginia,2020-06-04,29.5,Mild
By State,Washington,2020-06-04,29.4,Mild
By State,West Virginia,2020-06-04,35.8,High
By State,Wisconsin,2020-06-04,25.3,Mild
By State,Wyoming,2020-06-04,21.3,Mild
By Age,18 - 29 years,2020-06-11,42.9,Extreme
By Age,30 - 39 years,2020-06-11,35.8,High
By Age,40 - 49 years,2020-06-11,34.8,Moderate
By Age,50 - 59 years,2020-06-11,31.7,Moderate
By Age,60 - 69 years,2020-06-11,23.6,Mild
By Age,70 - 79 years,2020-06-11,18.0,Mild
By Age,80 years and above,2020-06-11,14.6,Mild
By Sex,Male,2020-06-11,28.1,Mild
By Sex,Female,2020-06-11,35.0,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-11,33.6,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-11,30.6,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-11,35.8,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-11,26.0,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-11,37.6,High
By Education,Less than a high school diploma,2020-06-11,37.7,High
By Education,High school diploma or GED,2020-06-11,32.5,Moderate
By Education,Some college/Associate's degree,2020-06-11,34.5,Moderate
By Education,Bachelor's degree or higher,2020-06-11,26.6,Mild
By State,Alabama,2020-06-11,33.9,Moderate
By State,Alaska,2020-06-11,33.3,Moderate
By State,Arizona,2020-06-11,25.6,Mild
By State,Arkansas,2020-06-11,33.7,Moderate
By State,California,2020-06-11,33.7,Moderate
By State,Colorado,2020-06-11,29.8,Mild
By State,Connecticut,2020-06-11,35.1,High
By State,Delaware,2020-06-11,30.2,Moderate
By State,District of Columbia,2020-06-11,25.9,Mild
By State,Florida,2020-06-11,37.4,High
By State,Georgia,2020-06-11,33.3,Moderate
By State,Hawaii,2020-06-11,31.7,Moderate
By State,Idaho,2020-06-11,26.0,Mild
By State,Illinois,2020-06-11,31.0,Moderate
By State,Indiana,2020-06-11,33.8,Moderate
By State,Iowa,2020-06-11,26.1,Mild
By State,Kansas,2020-06-11,30.5,Moderate
By State,Kentucky,2020-06-11,26.6,Mild
By State,Louisiana,2020-06-11,38.4,High
By State,Maine,2020-06-11,32.2,Moderate
By State,Maryland,2020-06-11,34.6,Moderate
By State,Massachusetts,2020-06-11,27.3,Mild
By State,Michigan,2020-06-11,30.2,Moderate
By State,Minnesota,2020-06-11,28.0,Mild
By State,Mississippi,2020-06-11,31.6,Moderate
By State,Missouri,2020-06-11,33.3,Moderate
By State,Montana,2020-06-11,30.6,Moderate
By State,Nebraska,2020-06-11,24.1,Mild
By State,Nevada,2020-06-11,33.5,Moderate
By State,New Hampshire,2020-06-11,28.1,Mild
By State,New Jersey,2020-06-11,33.5,Moderate
By State,New Mexico,2020-06-11,22.7,Mild
By State,New York,2020-06-11,28.7,Mild
By State,North Carolina,2020-06-11,30.0,Mild
By State,North Dakota,2020-06-11,30.3,Moderate
By State,Ohio,2020-06-11,31.5,Moderate
By State,Oklahoma,2020-06-11,30.9,Moderate
By State,Oregon,2020-06-11,39.8,High
By State,Pennsylvania,2020-06-11,28.4,Mild
By State,Rhode Island,2020-06-11,25.5,Mild
By State,South Carolina,2020-06-11,30.6,Moderate
By State,South Dakota,2020-06-11,24.5,Mild
By State,Tennessee,2020-06-11,28.7,Mild
By State,Texas,2020-06-11,35.5,High
By State,Utah,2020-06-11,32.0,Moderate
By State,Vermont,2020-06-11,33.0,Moderate
By State,Virginia,2020-06-11,30.1,Moderate
By State,Washington,2020-06-11,29.3,Mild
By State,West Virginia,2020-06-11,26.7,Mild
By State,Wisconsin,2020-06-11,23.5,Mild
By State,Wyoming,2020-06-11,24.2,Mild
By Age,18 - 29 years,2020-06-18,42.8,Extreme
By Age,30 - 39 years,2020-06-18,36.0,High
By Age,40 - 49 years,2020-06-18,34.0,Moderate
By Age,50 - 59 years,2020-06-18,32.4,Moderate
By Age,60 - 69 years,2020-06-18,23.1,Mild
By Age,70 - 79 years,2020-06-18,14.8,Mild
By Age,80 years and above,2020-06-18,11.4,Mild
By Sex,Male,2020-06-18,27.4,Mild
By Sex,Female,2020-06-18,34.8,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-18,36.5,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-18,29.8,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-18,32.6,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-18,23.0,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-18,39.7,High
By Education,Less than a high school diploma,2020-06-18,36.6,High
By Education,High school diploma or GED,2020-06-18,32.7,Moderate
By Education,Some college/Associate's degree,2020-06-18,33.7,Moderate
By Education,Bachelor's degree or higher,2020-06-18,26.0,Mild
By State,Alabama,2020-06-18,33.7,Moderate
By State,Alaska,2020-06-18,31.8,Moderate
By State,Arizona,2020-06-18,34.7,Moderate
By State,Arkansas,2020-06-18,32.7,Moderate
By State,California,2020-06-18,34.4,Moderate
By State,Colorado,2020-06-18,26.7,Mild
By State,Connecticut,2020-06-18,34.5,Moderate
By State,Delaware,2020-06-18,23.6,Mild
By State,District of Columbia,2020-06-18,39.6,High
By State,Florida,2020-06-18,33.3,Moderate
By State,Georgia,2020-06-18,32.6,Moderate
By State,Hawaii,2020-06-18,22.9,Mild
By State,Idaho,2020-06-18,28.3,Mild
By State,Illinois,2020-06-18,30.6,Moderate
By State,Indiana,2020-06-18,30.6,Moderate
By State,Iowa,2020-06-18,32.4,Moderate
By State,Kansas,2020-06-18,29.4,Mild
By State,Kentucky,2020-06-18,33.2,Moderate
By State,Louisiana,2020-06-18,41.3,Extreme
By State,Maine,2020-06-18,24.1,Mild
By State,Maryland,2020-06-18,30.1,Moderate
By State,Massachusetts,2020-06-18,27.9,Mild
By State,Michigan,2020-06-18,27.4,Mild
By State,Minnesota,2020-06-18,25.0,Mild
By State,Mississippi,2020-06-18,31.8,Moderate
By State,Missouri,2020-06-18,28.3,Mild
By State,Montana,2020-06-18,27.8,Mild
By State,Nebraska,2020-06-18,25.0,Mild
By State,Nevada,2020-06-18,38.4,High
By State,New Hampshire,2020-06-18,31.2,Moderate
By State,New Jersey,2020-06-18,30.8,Moderate
By State,New Mexico,2020-06-18,39.0,High
By State,New York,2020-06-18,26.9,Mild
By State,North Carolina,2020-06-18,29.1,Mild
By State,North Dakota,2020-06-18,28.7,Mild
By State,Ohio,2020-06-18,27.7,Mild
By State,Oklahoma,2020-06-18,39.0,High
By State,Oregon,2020-06-18,37.1,High
