,Indicator,Group,Subgroup,Time Period Start Date,Value,Risk
40,Symptoms of Depressive Disorder,By State,Massachusetts,04/23/2020,25.9,Mild
41,Symptoms of Depressive Disorder,By State,Michigan,04/23/2020,25.5,Mild
42,Symptoms of Depressive Disorder,By State,Minnesota,04/23/2020,20.4,Mild
43,Symptoms of Depressive Disorder,By State,Mississippi,04/23/2020,22.9,Mild
44,Symptoms of Depressive Disorder,By State,Missouri,04/23/2020,21.0,Mild
45,Symptoms of Depressive Disorder,By State,Montana,04/23/2020,18.2,Mild
46,Symptoms of Depressive Disorder,By State,Nebraska,04/23/2020,19.1,Mild
47,Symptoms of Depressive Disorder,By State,Nevada,04/23/2020,23.6,Mild
48,Symptoms of Depressive Disorder,By State,New Hampshire,04/23/2020,19.5,Mild
49,Symptoms of Depressive Disorder,By State,New Jersey,04/23/2020,23.6,Mild
50,Symptoms of Depressive Disorder,By State,New Mexico,04/23/2020,22.4,Mild
51,Symptoms of Depressive Disorder,By State,New York,04/23/2020,28.7,Mild
52,Symptoms of Depressive Disorder,By State,North Carolina,04/23/2020,21.1,Mild
53,Symptoms of Depressive Disorder,By State,North Dakota,04/23/2020,17.0,Mild
54,Symptoms of Depressive Disorder,By State,Ohio,04/23/2020,21.2,Mild
55,Symptoms of Depressive Disorder,By State,Oklahoma,04/23/2020,20.8,Mild
56,Symptoms of Depressive Disorder,By State,Oregon,04/23/2020,22.5,Mild
57,Symptoms of Depressive Disorder,By State,Pennsylvania,04/23/2020,24.7,Mild
58,Symptoms of Depressive Disorder,By State,Rhode Island,04/23/2020,24.5,Mild
59,Symptoms of Depressive Disorder,By State,South Carolina,04/23/2020,21.6,Mild
60,Symptoms of Depressive Disorder,By State,South Dakota,04/23/2020,17.5,Mild
61,Symptoms of Depressive Disorder,By State,Tennessee,04/23/2020,22.2,Mild
62,Symptoms of Depressive Disorder,By State,Texas,04/23/2020,24.4,Mild
63,Symptoms of Depressive Disorder,By State,Utah,04/23/2020,22.9,Mild
64,Symptoms of Depressive Disorder,By State,Vermont,04/23/2020,20.7,Mild
65,Symptoms of Depressive Disorder,By State,Virginia,04/23/2020,21.5,Mild
66,Symptoms of Depressive Disorder,By State,Washington,04/23/2020,22.1,Mild
67,Symptoms of Depressive Disorder,By State,West Virginia,04/23/2020,23.4,Mild
68,Symptoms of Depressive Disorder,By State,Wisconsin,04/23/2020,22.0,Mild
69,Symptoms of Depressive Disorder,By State,Wyoming,04/23/2020,18.9,Mild
70,Symptoms of Anxiety Disorder,National Estimate,United States,04/23/2020,30.8,Moderate
71,Symptoms of Anxiety Disorder,By Age,18 - 29 years,04/23/2020,40.2,Extreme
72,Symptoms of Anxiety Disorder,By Age,30 - 39 years,04/23/2020,34.4,Moderate
73,Symptoms of Anxiety Disorder,By Age,40 - 49 years,04/23/2020,34.1,Moderate
74,Symptoms of Anxiety Disorder,By Age,50 - 59 years,04/23/2020,31.0,Moderate
75,Symptoms of Anxiety Disorder,By Age,60 - 69 years,04/23/2020,24.9,Mild
76,Symptoms of Anxiety Disorder,By Age,70 - 79 years,04/23/2020,16.4,Mild
77,Symptoms of Anxiety Disorder,By Age,80 years and above,04/23/2020,14.6,Mild
78,Symptoms of Anxiety Disorder,By Sex,Male,04/23/2020,26.1,Mild
79,Symptoms of Anxiety Disorder,By Sex,Female,04/23/2020,35.4,High
80,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,04/23/2020,36.3,High
81,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",04/23/2020,29.0,Mild
82,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",04/23/2020,32.8,Moderate
83,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",04/23/2020,26.3,Mild
84,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",04/23/2020,38.2,High
85,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,04/23/2020,37.3,High
86,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,04/23/2020,30.6,Moderate
87,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,04/23/2020,33.5,Moderate
88,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,04/23/2020,27.0,Mild
89,Symptoms of Anxiety Disorder,By State,Alabama,04/23/2020,25.6,Mild
90,Symptoms of Anxiety Disorder,By State,Alaska,04/23/2020,27.7,Mild
91,Symptoms of Anxiety Disorder,By State,Arizona,04/23/2020,32.3,Moderate
92,Symptoms of Anxiety Disorder,By State,Arkansas,04/23/2020,33.7,Moderate
93,Symptoms of Anxiety Disorder,By State,California,04/23/2020,30.8,Moderate
94,Symptoms of Anxiety Disorder,By State,Colorado,04/23/2020,32.6,Moderate
95,Symptoms of Anxiety Disorder,By State,Connecticut,04/23/2020,34.9,Moderate
96,Symptoms of Anxiety Disorder,By State,Delaware,04/23/2020,29.9,Mild
97,Symptoms of Anxiety Disorder,By State,District of Columbia,04/23/2020,31.4,Moderate
98,Symptoms of Anxiety Disorder,By State,Florida,04/23/2020,32.6,Moderate
99,Symptoms of Anxiety Disorder,By State,Georgia,04/23/2020,31.9,Moderate
100,Symptoms of Anxiety Disorder,By State,Hawaii,04/23/2020,32.3,Moderate
101,Symptoms of Anxiety Disorder,By State,Idaho,04/23/2020,26.9,Mild
102,Symptoms of Anxiety Disorder,By State,Illinois,04/23/2020,31.1,Moderate
103,Symptoms of Anxiety Disorder,By State,Indiana,04/23/2020,31.8,Moderate
104,Symptoms of Anxiety Disorder,By State,Iowa,04/23/2020,22.5,Mild
105,Symptoms of Anxiety Disorder,By State,Kansas,04/23/2020,26.4,Mild
106,Symptoms of Anxiety Disorder,By State,Kentucky,04/23/2020,31.6,Moderate
107,Symptoms of Anxiety Disorder,By State,Louisiana,04/23/2020,34.4,Moderate
108,Symptoms of Anxiety Disorder,By State,Maine,04/23/2020,29.5,Mild
109,Symptoms of Anxiety Disorder,By State,Maryland,04/23/2020,27.7,Mild
110,Symptoms of Anxiety Disorder,By State,Massachusetts,04/23/2020,37.0,High
111,Symptoms of Anxiety Disorder,By State,Michigan,04/23/2020,32.5,Moderate
112,Symptoms of Anxiety Disorder,By State,Minnesota,04/23/2020,28.5,Mild
113,Symptoms of Anxiety Disorder,By State,Mississippi,04/23/2020,30.3,Moderate
114,Symptoms of Anxiety Disorder,By State,Missouri,04/23/2020,30.4,Moderate
115,Symptoms of Anxiety Disorder,By State,Montana,04/23/2020,22.8,Mild
116,Symptoms of Anxiety Disorder,By State,Nebraska,04/23/2020,24.2,Mild
117,Symptoms of Anxiety Disorder,By State,Nevada,04/23/2020,31.4,Moderate
118,Symptoms of Anxiety Disorder,By State,New Hampshire,04/23/2020,31.3,Moderate
119,Symptoms of Anxiety Disorder,By State,New Jersey,04/23/2020,31.4,Moderate
120,Symptoms of Anxiety Disorder,By State,New Mexico,04/23/2020,27.9,Mild
121,Symptoms of Anxiety Disorder,By State,New York,04/23/2020,36.1,High
122,Symptoms of Anxiety Disorder,By State,North Carolina,04/23/2020,30.0,Mild
123,Symptoms of Anxiety Disorder,By State,North Dakota,04/23/2020,21.7,Mild
124,Symptoms of Anxiety Disorder,By State,Ohio,04/23/2020,31.1,Moderate
125,Symptoms of Anxiety Disorder,By State,Oklahoma,04/23/2020,28.6,Mild
126,Symptoms of Anxiety Disorder,By State,Oregon,04/23/2020,31.5,Moderate
127,Symptoms of Anxiety Disorder,By State,Pennsylvania,04/23/2020,31.0,Moderate
128,Symptoms of Anxiety Disorder,By State,Rhode Island,04/23/2020,27.6,Mild
129,Symptoms of Anxiety Disorder,By State,South Carolina,04/23/2020,27.8,Mild
130,Symptoms of Anxiety Disorder,By State,South Dakota,04/23/2020,22.1,Mild
131,Symptoms of Anxiety Disorder,By State,Tennessee,04/23/2020,28.2,Mild
132,Symptoms of Anxiety Disorder,By State,Texas,04/23/2020,29.7,Mild
133,Symptoms of Anxiety Disorder,By State,Utah,04/23/2020,28.9,Mild
134,Symptoms of Anxiety Disorder,By State,Vermont,04/23/2020,30.6,Moderate
135,Symptoms of Anxiety Disorder,By State,Virginia,04/23/2020,28.5,Mild
136,Symptoms of Anxiety Disorder,By State,Washington,04/23/2020,30.6,Moderate
137,Symptoms of Anxiety Disorder,By State,West Virginia,04/23/2020,28.8,Mild
138,Symptoms of Anxiety Disorder,By State,Wisconsin,04/23/2020,27.1,Mild
139,Symptoms of Anxiety Disorder,By State,Wyoming,04/23/2020,24.9,Mild
140,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,04/23/2020,35.9,High
141,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,04/23/2020,46.8,Extreme
142,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,04/23/2020,39.6,High
143,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,04/23/2020,38.9,High
144,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,04/23/2020,35.8,High
145,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,04/23/2020,28.9,Mild
146,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,04/23/2020,21.5,Mild
147,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,04/23/2020,21.1,Mild
148,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Male,04/23/2020,31.0,Moderate
149,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Female,04/23/2020,40.7,Extreme
150,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,04/23/2020,42.7,Extreme
151,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",04/23/2020,33.6,Moderate
152,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",04/23/2020,38.9,High
153,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",04/23/2020,31.9,Moderate
154,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",04/23/2020,43.9,Extreme
155,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,04/23/2020,45.4,Extreme
156,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,04/23/2020,36.7,High
157,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,04/23/2020,38.5,High
158,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,04/23/2020,30.7,Moderate
159,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,04/23/2020,30.3,Moderate
160,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,04/23/2020,31.5,Moderate
161,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,04/23/2020,36.4,High
162,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,04/23/2020,38.0,High
163,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,04/23/2020,37.4,High
164,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,04/23/2020,35.9,High
165,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,04/23/2020,40.2,Extreme
166,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,04/23/2020,34.7,Moderate
167,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,04/23/2020,37.6,High
168,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,04/23/2020,36.8,High
169,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,04/23/2020,36.2,High
170,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,04/23/2020,37.0,High
171,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,04/23/2020,33.3,Moderate
172,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,04/23/2020,36.6,High
173,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,04/23/2020,37.8,High
174,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,04/23/2020,28.2,Mild
175,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,04/23/2020,32.5,Moderate
176,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,04/23/2020,36.4,High
177,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,04/23/2020,38.9,High
178,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,04/23/2020,34.3,Moderate
179,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,04/23/2020,32.9,Moderate
180,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,04/23/2020,40.6,Extreme
181,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,04/23/2020,39.4,High
182,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,04/23/2020,32.4,Moderate
183,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,04/23/2020,34.5,Moderate
184,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,04/23/2020,35.2,High
185,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,04/23/2020,27.3,Mild
186,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,04/23/2020,28.6,Mild
187,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,04/23/2020,34.8,Moderate
188,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,04/23/2020,34.8,Moderate
189,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,04/23/2020,37.6,High
190,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,04/23/2020,34.6,Moderate
191,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,04/23/2020,41.4,Extreme
192,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,04/23/2020,34.6,Moderate
193,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,04/23/2020,27.7,Mild
194,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,04/23/2020,35.1,High
195,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,04/23/2020,34.1,Moderate
196,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,04/23/2020,36.8,High
197,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,04/23/2020,35.1,High
198,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,04/23/2020,34.4,Moderate
199,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,04/23/2020,33.3,Moderate
200,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,04/23/2020,25.6,Mild
201,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,04/23/2020,33.4,Moderate
202,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,04/23/2020,34.9,Moderate
203,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,04/23/2020,34.7,Moderate
204,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,04/23/2020,33.9,Moderate
205,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,04/23/2020,33.7,Moderate
206,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,04/23/2020,35.0,Moderate
207,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,04/23/2020,34.3,Moderate
208,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,04/23/2020,31.1,Moderate
209,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,04/23/2020,31.0,Moderate
210,Symptoms of Depressive Disorder,National Estimate,United States,05/07/2020,24.1,Mild
211,Symptoms of Depressive Disorder,By Age,18 - 29 years,05/07/2020,36.2,High
212,Symptoms of Depressive Disorder,By Age,30 - 39 years,05/07/2020,27.7,Mild
213,Symptoms of Depressive Disorder,By Age,40 - 49 years,05/07/2020,25.5,Mild
214,Symptoms of Depressive Disorder,By Age,50 - 59 years,05/07/2020,24.1,Mild
215,Symptoms of Depressive Disorder,By Age,60 - 69 years,05/07/2020,17.6,Mild
216,Symptoms of Depressive Disorder,By Age,70 - 79 years,05/07/2020,12.2,Mild
217,Symptoms of Depressive Disorder,By Age,80 years and above,05/07/2020,9.1,Mild
218,Symptoms of Depressive Disorder,By Sex,Male,05/07/2020,22.3,Mild
219,Symptoms of Depressive Disorder,By Sex,Female,05/07/2020,25.8,Mild
220,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,05/07/2020,27.9,Mild
221,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",05/07/2020,22.5,Mild
222,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",05/07/2020,27.7,Mild
223,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",05/07/2020,19.5,Mild
224,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",05/07/2020,33.0,Moderate
225,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,05/07/2020,31.4,Moderate
226,Symptoms of Depressive Disorder,By Education,High school diploma or GED,05/07/2020,27.1,Mild
227,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,05/07/2020,26.5,Mild
228,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,05/07/2020,17.2,Mild
229,Symptoms of Depressive Disorder,By State,Alabama,05/07/2020,22.5,Mild
230,Symptoms of Depressive Disorder,By State,Alaska,05/07/2020,25.1,Mild
231,Symptoms of Depressive Disorder,By State,Arizona,05/07/2020,25.3,Mild
232,Symptoms of Depressive Disorder,By State,Arkansas,05/07/2020,24.5,Mild
233,Symptoms of Depressive Disorder,By State,California,05/07/2020,22.8,Mild
234,Symptoms of Depressive Disorder,By State,Colorado,05/07/2020,23.6,Mild
235,Symptoms of Depressive Disorder,By State,Connecticut,05/07/2020,21.5,Mild
236,Symptoms of Depressive Disorder,By State,Delaware,05/07/2020,23.3,Mild
237,Symptoms of Depressive Disorder,By State,District of Columbia,05/07/2020,30.3,Moderate
238,Symptoms of Depressive Disorder,By State,Florida,05/07/2020,24.8,Mild
239,Symptoms of Depressive Disorder,By State,Georgia,05/07/2020,25.6,Mild
240,Symptoms of Depressive Disorder,By State,Hawaii,05/07/2020,16.8,Mild
241,Symptoms of Depressive Disorder,By State,Idaho,05/07/2020,17.0,Mild
242,Symptoms of Depressive Disorder,By State,Illinois,05/07/2020,29.2,Mild
243,Symptoms of Depressive Disorder,By State,Indiana,05/07/2020,19.9,Mild
244,Symptoms of Depressive Disorder,By State,Iowa,05/07/2020,18.1,Mild
245,Symptoms of Depressive Disorder,By State,Kansas,05/07/2020,16.7,Mild
246,Symptoms of Depressive Disorder,By State,Kentucky,05/07/2020,25.6,Mild
247,Symptoms of Depressive Disorder,By State,Louisiana,05/07/2020,30.0,Mild
248,Symptoms of Depressive Disorder,By State,Maine,05/07/2020,17.1,Mild
249,Symptoms of Depressive Disorder,By State,Maryland,05/07/2020,24.6,Mild
250,Symptoms of Depressive Disorder,By State,Massachusetts,05/07/2020,18.9,Mild
251,Symptoms of Depressive Disorder,By State,Michigan,05/07/2020,23.4,Mild
252,Symptoms of Depressive Disorder,By State,Minnesota,05/07/2020,18.4,Mild
253,Symptoms of Depressive Disorder,By State,Mississippi,05/07/2020,35.5,High
254,Symptoms of Depressive Disorder,By State,Missouri,05/07/2020,24.1,Mild
255,Symptoms of Depressive Disorder,By State,Montana,05/07/2020,20.8,Mild
256,Symptoms of Depressive Disorder,By State,Nebraska,05/07/2020,21.6,Mild
257,Symptoms of Depressive Disorder,By State,Nevada,05/07/2020,31.2,Moderate
258,Symptoms of Depressive Disorder,By State,New Hampshire,05/07/2020,23.3,Mild
259,Symptoms of Depressive Disorder,By State,New Jersey,05/07/2020,26.4,Mild
260,Symptoms of Depressive Disorder,By State,New Mexico,05/07/2020,29.0,Mild
261,Symptoms of Depressive Disorder,By State,New York,05/07/2020,29.2,Mild
262,Symptoms of Depressive Disorder,By State,North Carolina,05/07/2020,20.2,Mild
263,Symptoms of Depressive Disorder,By State,North Dakota,05/07/2020,20.2,Mild
264,Symptoms of Depressive Disorder,By State,Ohio,05/07/2020,26.4,Mild
265,Symptoms of Depressive Disorder,By State,Oklahoma,05/07/2020,20.7,Mild
266,Symptoms of Depressive Disorder,By State,Oregon,05/07/2020,17.8,Mild
267,Symptoms of Depressive Disorder,By State,Pennsylvania,05/07/2020,23.0,Mild
268,Symptoms of Depressive Disorder,By State,Rhode Island,05/07/2020,22.8,Mild
269,Symptoms of Depressive Disorder,By State,South Carolina,05/07/2020,25.6,Mild
270,Symptoms of Depressive Disorder,By State,South Dakota,05/07/2020,20.5,Mild
271,Symptoms of Depressive Disorder,By State,Tennessee,05/07/2020,21.7,Mild
272,Symptoms of Depressive Disorder,By State,Texas,05/07/2020,25.7,Mild
273,Symptoms of Depressive Disorder,By State,Utah,05/07/2020,22.6,Mild
274,Symptoms of Depressive Disorder,By State,Vermont,05/07/2020,26.8,Mild
275,Symptoms of Depressive Disorder,By State,Virginia,05/07/2020,20.6,Mild
276,Symptoms of Depressive Disorder,By State,Washington,05/07/2020,22.9,Mild
277,Symptoms of Depressive Disorder,By State,West Virginia,05/07/2020,31.8,Moderate
278,Symptoms of Depressive Disorder,By State,Wisconsin,05/07/2020,22.9,Mild
279,Symptoms of Depressive Disorder,By State,Wyoming,05/07/2020,18.6,Mild
280,Symptoms of Anxiety Disorder,National Estimate,United States,05/07/2020,30.0,Mild
281,Symptoms of Anxiety Disorder,By Age,18 - 29 years,05/07/2020,42.0,Extreme
282,Symptoms of Anxiety Disorder,By Age,30 - 39 years,05/07/2020,34.3,Moderate
283,Symptoms of Anxiety Disorder,By Age,40 - 49 years,05/07/2020,31.9,Moderate
284,Symptoms of Anxiety Disorder,By Age,50 - 59 years,05/07/2020,31.3,Moderate
285,Symptoms of Anxiety Disorder,By Age,60 - 69 years,05/07/2020,22.0,Mild
286,Symptoms of Anxiety Disorder,By Age,70 - 79 years,05/07/2020,16.4,Mild
287,Symptoms of Anxiety Disorder,By Age,80 years and above,05/07/2020,11.0,Mild
288,Symptoms of Anxiety Disorder,By Sex,Male,05/07/2020,26.7,Mild
289,Symptoms of Anxiety Disorder,By Sex,Female,05/07/2020,33.1,Moderate
290,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,05/07/2020,36.2,High
291,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",05/07/2020,27.8,Mild
292,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",05/07/2020,33.0,Moderate
293,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",05/07/2020,26.3,Mild
294,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",05/07/2020,38.9,High
295,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,05/07/2020,36.6,High
296,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,05/07/2020,32.8,Moderate
297,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,05/07/2020,31.5,Moderate
298,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,05/07/2020,24.2,Mild
299,Symptoms of Anxiety Disorder,By State,Alabama,05/07/2020,27.2,Mild
300,Symptoms of Anxiety Disorder,By State,Alaska,05/07/2020,27.4,Mild
301,Symptoms of Anxiety Disorder,By State,Arizona,05/07/2020,34.2,Moderate
302,Symptoms of Anxiety Disorder,By State,Arkansas,05/07/2020,29.1,Mild
303,Symptoms of Anxiety Disorder,By State,California,05/07/2020,31.4,Moderate
304,Symptoms of Anxiety Disorder,By State,Colorado,05/07/2020,29.7,Mild
305,Symptoms of Anxiety Disorder,By State,Connecticut,05/07/2020,29.1,Mild
